date,artificial intelligence,ChatGPT,Claude AI,generative AI,machine learning,ai_trend_score,ai_trend_4w_mean,ai_trend_4w_change,ai_trend_spike,ai_trend_bucket
2023-09-03,1,32,0,1,2,7.2,6.949999999999999,0.2500000000000009,0,medium
2023-09-10,1,38,0,1,2,8.4,7.6000000000000005,0.7999999999999998,0,medium
2023-09-17,1,41,0,1,2,9.0,8.2,0.8000000000000007,0,medium
2023-09-24,1,41,0,1,2,9.0,8.4,0.5999999999999996,0,medium
2023-10-01,1,38,0,1,2,8.4,8.700000000000001,-0.3000000000000007,0,medium
2023-10-08,2,39,0,1,2,8.8,8.8,0.0,0,medium
2023-10-15,1,41,0,1,2,9.0,8.8,0.1999999999999993,0,medium
2023-10-22,1,42,0,1,2,9.2,8.85,0.34999999999999964,0,medium
2023-10-29,2,40,0,1,2,9.0,9.0,0.0,0,medium
2023-11-05,1,44,0,1,2,9.6,9.2,0.40000000000000036,0,high
2023-11-12,1,43,0,1,2,9.4,9.299999999999999,0.10000000000000142,0,medium
2023-11-19,1,32,0,1,2,7.2,8.8,-1.6000000000000005,0,medium
2023-11-26,1,45,0,1,2,9.8,9.0,0.8000000000000007,0,high
2023-12-03,1,46,0,1,2,10.0,9.100000000000001,0.8999999999999986,0,high
2023-12-10,1,45,0,1,2,9.8,9.200000000000001,0.5999999999999996,0,high
2023-12-17,1,31,0,1,1,6.8,9.1,-2.3,0,medium
2023-12-24,1,22,0,1,1,5.0,7.9,-2.9000000000000004,0,low
2023-12-31,1,28,0,1,1,6.2,6.95,-0.75,0,medium
2024-01-07,1,37,0,1,2,8.2,6.55,1.6499999999999995,0,medium
2024-01-14,1,37,0,1,2,8.2,6.8999999999999995,1.2999999999999998,0,medium
2024-01-21,1,44,0,1,2,9.6,8.049999999999999,1.5500000000000007,0,high
2024-01-28,1,45,0,1,2,9.8,8.95,0.8500000000000014,0,high
2024-02-04,1,47,0,1,2,10.2,9.45,0.75,0,high
2024-02-11,1,49,0,1,2,10.6,10.05,0.5499999999999989,0,high
2024-02-18,1,47,0,1,2,10.2,10.2,0.0,0,high
2024-02-25,2,49,0,1,2,10.8,10.45,0.3500000000000014,0,high
2024-03-03,1,47,1,1,2,10.4,10.5,-0.09999999999999964,0,high
2024-03-10,1,43,1,1,2,9.6,10.25,-0.6500000000000004,0,high
2024-03-17,1,45,1,1,2,10.0,10.2,-0.1999999999999993,0,high
2024-03-24,2,43,1,1,2,9.8,9.95,-0.14999999999999858,0,high
2024-03-31,1,46,1,1,2,10.2,9.9,0.29999999999999893,0,high
2024-04-07,1,50,1,1,2,11.0,10.25,0.75,0,high
2024-04-14,1,49,1,1,2,10.8,10.45,0.3500000000000014,0,high
2024-04-21,1,53,1,1,2,11.6,10.9,0.6999999999999993,0,high
2024-04-28,1,51,1,1,2,11.2,11.15,0.049999999999998934,0,high
2024-05-05,1,47,1,1,2,10.4,11.0,-0.5999999999999996,0,high
2024-05-12,2,46,1,1,2,10.4,10.9,-0.5,0,high
2024-05-19,1,48,0,1,2,10.4,10.6,-0.1999999999999993,0,high
2024-05-26,1,41,0,1,2,9.0,10.05,-1.0500000000000007,0,medium
2024-06-02,1,46,1,1,2,10.2,10.0,0.1999999999999993,0,high
2024-06-09,1,38,0,1,2,8.4,9.5,-1.0999999999999996,0,medium
2024-06-16,1,37,1,1,2,8.4,9.0,-0.5999999999999996,0,medium
2024-06-23,1,36,1,1,2,8.2,8.8,-0.6000000000000014,0,medium
2024-06-30,1,31,1,1,2,7.2,8.05,-0.8500000000000005,0,medium
2024-07-07,1,34,1,1,2,7.8,7.9,-0.10000000000000053,0,medium
2024-07-14,1,32,1,1,2,7.4,7.65,-0.25,0,medium
2024-07-21,1,35,1,1,2,8.0,7.6,0.40000000000000036,0,medium
2024-07-28,1,36,1,1,2,8.2,7.85,0.34999999999999964,0,medium
2024-08-04,1,36,1,1,2,8.2,7.949999999999999,0.25,0,medium
2024-08-11,1,41,1,1,2,9.2,8.4,0.7999999999999989,0,medium
2024-08-18,1,50,1,1,2,11.0,9.15,1.8499999999999996,0,high
2024-08-25,1,52,1,1,2,11.4,9.95,1.450000000000001,0,high
2024-09-01,1,57,1,1,2,12.4,11.0,1.4000000000000004,1,high
2024-09-08,1,63,1,1,2,13.6,12.1,1.5,1,high
2024-09-15,1,66,1,1,2,14.2,12.899999999999999,1.3000000000000007,1,high
2024-09-22,1,68,1,1,2,14.6,13.7,0.9000000000000004,1,high
2024-09-29,1,68,1,1,2,14.6,14.25,0.34999999999999964,1,high
2024-10-06,1,63,1,1,2,13.6,14.25,-0.6500000000000004,1,high
2024-10-13,1,66,1,1,2,14.2,14.249999999999998,-0.049999999999998934,1,high
2024-10-20,2,73,1,1,2,15.8,14.55,1.25,1,high
2024-10-27,1,73,1,1,2,15.6,14.8,0.7999999999999989,1,high
2024-11-03,1,68,1,1,2,14.6,15.049999999999999,-0.4499999999999993,1,high
2024-11-10,2,77,1,1,2,16.6,15.65,0.9500000000000011,1,high
2024-11-17,2,83,1,1,2,17.8,16.15,1.6500000000000021,1,high
2024-11-24,1,55,1,1,2,12.0,15.25,-3.25,1,high
2024-12-01,2,81,1,1,2,17.4,15.95,1.4499999999999993,1,high
2024-12-08,2,100,1,1,2,21.2,17.1,4.099999999999998,1,high
2024-12-15,1,75,1,1,2,16.0,16.65,-0.6499999999999986,1,high
2024-12-22,1,45,1,1,1,9.8,16.1,-6.300000000000001,0,high
2024-12-29,1,47,1,1,1,10.2,14.299999999999999,-4.1,0,high
