state,q_sell,q_hold,q_buy,best_action,q_margin,trend,volume,volatility,recent_return,sec_ai,lots
trend=low|volume=high|volatility=nan|recent_return=medium|sec_ai=low|lots=0,0.07246164638576216,0.07193529259768615,0.0761965249487119,BUY,0.0037348785629497394,low,high,nan,medium,low,0
trend=low|volume=high|volatility=low|recent_return=high|sec_ai=low|lots=0,0.0644521539773176,0.06445175304224028,0.06450562015795508,BUY,5.346618063747921e-05,low,high,low,high,low,0
trend=low|volume=low|volatility=low|recent_return=medium|sec_ai=low|lots=1,0.06683751387708005,0.0752152931481393,0.08282143378644531,BUY,0.0076061406383060165,low,low,low,medium,low,1
trend=low|volume=medium|volatility=low|recent_return=high|sec_ai=low|lots=1,0.06593808808796943,0.0774327968118322,0.08496396018040689,BUY,0.007531163368574692,low,medium,low,high,low,1
trend=low|volume=medium|volatility=low|recent_return=high|sec_ai=low|lots=0,0.06472544989440643,0.0646809114599822,0.06467754535663396,SELL,4.4538434424229445e-05,low,medium,low,high,low,0
trend=low|volume=high|volatility=low|recent_return=medium|sec_ai=low|lots=1,0.0675927758881094,0.07719007088420808,0.07688126519598316,HOLD,0.00030880568822491683,low,high,low,medium,low,1
trend=low|volume=low|volatility=low|recent_return=low|sec_ai=low|lots=1,0.06822580421446273,0.08470945031098404,0.07925955282342811,HOLD,0.005449897487555921,low,low,low,low,low,1
trend=low|volume=low|volatility=low|recent_return=medium|sec_ai=low|lots=0,0.06417820616289173,0.06418225718073879,0.06420375799233044,BUY,2.150081159164874e-05,low,low,low,medium,low,0
trend=low|volume=low|volatility=low|recent_return=high|sec_ai=low|lots=0,0.06474639387284079,0.06478232762273077,0.06506467614822568,BUY,0.0002823485254949132,low,low,low,high,low,0
trend=low|volume=medium|volatility=low|recent_return=medium|sec_ai=low|lots=2,0.07751594755419039,0.07863100302654386,0.07763482159739245,HOLD,0.0009961814291514076,low,medium,low,medium,low,2
trend=low|volume=high|volatility=low|recent_return=high|sec_ai=low|lots=3,0.07913387015757634,0.07787033338438235,0.08358962598423617,BUY,0.00445575582665983,low,high,low,high,low,3
trend=low|volume=high|volatility=low|recent_return=low|sec_ai=low|lots=0,0.06428072997301869,0.06425169733261499,0.064651920109261,BUY,0.00037119013624231645,low,high,low,low,low,0
trend=low|volume=medium|volatility=low|recent_return=low|sec_ai=low|lots=1,0.06709361456172086,0.08572521800120912,0.07931669954790564,HOLD,0.00640851845330348,low,medium,low,low,low,1
trend=low|volume=medium|volatility=low|recent_return=low|sec_ai=low|lots=0,0.06453053426555051,0.06446468663650624,0.06442015845738246,SELL,6.584762904426888e-05,low,medium,low,low,low,0
trend=low|volume=high|volatility=low|recent_return=low|sec_ai=low|lots=3,0.08206880665326742,0.08136763373127497,0.07905864448051514,SELL,0.0007011729219924545,low,high,low,low,low,3
trend=low|volume=low|volatility=low|recent_return=medium|sec_ai=low|lots=3,0.08130510511915777,0.0817483244207666,0.0865146197081324,BUY,0.0047662952873658015,low,low,low,medium,low,3
trend=low|volume=medium|volatility=low|recent_return=medium|sec_ai=low|lots=0,0.06440279093676547,0.06442347564237715,0.06434867357209903,HOLD,2.0684705611673238e-05,low,medium,low,medium,low,0
trend=low|volume=medium|volatility=low|recent_return=low|sec_ai=low|lots=3,0.08120039721070481,0.08139199495259374,0.07963134151252448,HOLD,0.00019159774188892698,low,medium,low,low,low,3
trend=low|volume=low|volatility=low|recent_return=high|sec_ai=low|lots=1,0.06682139286210896,0.08001570820276187,0.08621165876360413,BUY,0.006195950560842267,low,low,low,high,low,1
trend=low|volume=medium|volatility=low|recent_return=medium|sec_ai=low|lots=1,0.06615970051594125,0.08496602909143276,0.07499989311666089,HOLD,0.009966135974771875,low,medium,low,medium,low,1
trend=low|volume=high|volatility=low|recent_return=low|sec_ai=low|lots=1,0.06650695681080888,0.08504069645206182,0.0817617649623707,HOLD,0.00327893148969112,low,high,low,low,low,1
trend=low|volume=high|volatility=low|recent_return=high|sec_ai=low|lots=1,0.06610297659264408,0.07984939909813185,0.08454799555324405,BUY,0.004698596455112197,low,high,low,high,low,1
trend=low|volume=high|volatility=low|recent_return=medium|sec_ai=low|lots=0,0.06432773893239772,0.0644796211735432,0.06422400762076269,HOLD,0.00015188224114547066,low,high,low,medium,low,0
trend=low|volume=low|volatility=low|recent_return=low|sec_ai=low|lots=0,0.06549310062838481,0.06487936645592526,0.06618777268156914,BUY,0.0006946720531843253,low,low,low,low,low,0
trend=low|volume=high|volatility=low|recent_return=medium|sec_ai=low|lots=2,0.07908620288894062,0.07802807179526122,0.08258546664157518,BUY,0.0034992637526345544,low,high,low,medium,low,2
trend=low|volume=low|volatility=low|recent_return=medium|sec_ai=low|lots=4,0.08002406082202618,0.08322476957101187,0.08022636796885038,HOLD,0.002998401602161485,low,low,low,medium,low,4
trend=low|volume=low|volatility=low|recent_return=medium|sec_ai=low|lots=2,0.07896472694639105,0.0872920661112847,0.07849996272296116,HOLD,0.008327339164893657,low,low,low,medium,low,2
trend=low|volume=low|volatility=low|recent_return=high|sec_ai=low|lots=4,0.08278266786797336,0.08219617659417851,0.08200026331406404,SELL,0.0005864912737948563,low,low,low,high,low,4
trend=low|volume=high|volatility=low|recent_return=low|sec_ai=low|lots=2,0.07709481116849111,0.07719759457240852,0.07178082220312246,HOLD,0.00010278340391740859,low,high,low,low,low,2
trend=low|volume=high|volatility=medium|recent_return=low|sec_ai=low|lots=2,0.08030688533394922,0.07818328429040601,0.07788185471861607,SELL,0.0021236010435432134,low,high,medium,low,low,2
trend=low|volume=high|volatility=medium|recent_return=high|sec_ai=low|lots=1,0.069835464947649,0.07436000520358765,0.07918406260960686,BUY,0.004824057406019211,low,high,medium,high,low,1
trend=low|volume=high|volatility=low|recent_return=high|sec_ai=high|lots=0,0.06015476011775159,0.06056556389044289,0.0601329640938893,HOLD,0.0004108037726913011,low,high,low,high,high,0
trend=low|volume=medium|volatility=medium|recent_return=low|sec_ai=low|lots=1,0.06873341423585057,0.07244563710444402,0.08310590623710742,BUY,0.010660269132663408,low,medium,medium,low,low,1
trend=low|volume=high|volatility=low|recent_return=medium|sec_ai=low|lots=3,0.08138373170468684,0.08461783344157436,0.08220480378604031,HOLD,0.0024130296555340547,low,high,low,medium,low,3
trend=low|volume=high|volatility=medium|recent_return=low|sec_ai=high|lots=0,0.06280275105884689,0.06337625068297593,0.0638130564323401,BUY,0.0004368057493641664,low,high,medium,low,high,0
trend=low|volume=medium|volatility=medium|recent_return=medium|sec_ai=low|lots=1,0.06941420311202574,0.07478773047343593,0.08123277963678473,BUY,0.006445049163348801,low,medium,medium,medium,low,1
trend=low|volume=high|volatility=medium|recent_return=low|sec_ai=low|lots=0,0.06704226789725827,0.06721026039349066,0.07234923086445094,BUY,0.005138970470960277,low,high,medium,low,low,0
trend=low|volume=high|volatility=medium|recent_return=high|sec_ai=medium|lots=1,0.06707524356778105,0.07660172170968493,0.07461177781863705,HOLD,0.0019899438910478823,low,high,medium,high,medium,1
trend=low|volume=high|volatility=low|recent_return=low|sec_ai=high|lots=0,0.0596457277992935,0.05963441225996952,0.059632210069211655,SELL,1.1315539323979162e-05,low,high,low,low,high,0
trend=low|volume=high|volatility=medium|recent_return=medium|sec_ai=low|lots=0,0.06695000720785572,0.06691287466209797,0.06917548141594589,BUY,0.0022254742080901613,low,high,medium,medium,low,0
trend=low|volume=high|volatility=medium|recent_return=medium|sec_ai=medium|lots=1,0.07126622743220681,0.07817005183523486,0.0811436181894776,BUY,0.002973566354242743,low,high,medium,medium,medium,1
trend=low|volume=medium|volatility=medium|recent_return=high|sec_ai=low|lots=1,0.06874123344462228,0.07421252621681015,0.08135622956145372,BUY,0.007143703344643565,low,medium,medium,high,low,1
trend=low|volume=low|volatility=medium|recent_return=high|sec_ai=low|lots=0,0.06687330081970583,0.06932527073156014,0.06696764688388561,HOLD,0.002357623847674531,low,low,medium,high,low,0
trend=low|volume=medium|volatility=medium|recent_return=high|sec_ai=low|lots=0,0.06765936924450616,0.06705563536880801,0.0653270722564954,SELL,0.0006037338756981481,low,medium,medium,high,low,0
trend=low|volume=high|volatility=medium|recent_return=high|sec_ai=low|lots=0,0.06671485571834253,0.06671252276814402,0.06886571272678792,BUY,0.0021508570084453893,low,high,medium,high,low,0
trend=low|volume=low|volatility=medium|recent_return=medium|sec_ai=low|lots=1,0.06950827302352336,0.0788867281474329,0.08830304224450894,BUY,0.009416314097076037,low,low,medium,medium,low,1
trend=low|volume=medium|volatility=medium|recent_return=medium|sec_ai=medium|lots=2,0.07849314338271438,0.07519993834929574,0.08298687999902112,BUY,0.00449373661630674,low,medium,medium,medium,medium,2
trend=low|volume=medium|volatility=low|recent_return=medium|sec_ai=high|lots=0,0.059841213186251616,0.05981419732176237,0.05992189460913839,BUY,8.068142288677332e-05,low,medium,low,medium,high,0
trend=low|volume=medium|volatility=medium|recent_return=medium|sec_ai=low|lots=0,0.06772051566467001,0.06755779122899534,0.07004076687667357,BUY,0.002320251212003563,low,medium,medium,medium,low,0
trend=low|volume=high|volatility=low|recent_return=medium|sec_ai=high|lots=0,0.06003183249132915,0.05998548193698609,0.06003787124128213,BUY,6.038749952981537e-06,low,high,low,medium,high,0
trend=low|volume=low|volatility=medium|recent_return=high|sec_ai=low|lots=1,0.06845142555036009,0.08340030955901565,0.07692632141212467,HOLD,0.006473988146890972,low,low,medium,high,low,1
trend=low|volume=medium|volatility=medium|recent_return=medium|sec_ai=medium|lots=3,0.08139370701737056,0.0793316520198188,0.08004512990767527,SELL,0.0013485771096952842,low,medium,medium,medium,medium,3
trend=low|volume=medium|volatility=low|recent_return=high|sec_ai=high|lots=0,0.05984761204032487,0.059762548191650826,0.05979147751620434,SELL,5.613452412053105e-05,low,medium,low,high,high,0
trend=low|volume=low|volatility=medium|recent_return=medium|sec_ai=low|lots=0,0.06676383486493709,0.0688698772294772,0.06686613422949977,HOLD,0.002003742999977423,low,low,medium,medium,low,0
trend=low|volume=low|volatility=medium|recent_return=low|sec_ai=low|lots=0,0.06731302613719486,0.06713657204877563,0.0679235563654366,BUY,0.0006105302282417291,low,low,medium,low,low,0
trend=low|volume=high|volatility=medium|recent_return=high|sec_ai=medium|lots=4,0.08199996992579715,0.07965556623227635,0.0734787105207669,SELL,0.002344403693520805,low,high,medium,high,medium,4
trend=low|volume=medium|volatility=low|recent_return=medium|sec_ai=high|lots=1,0.06187438920425241,0.07283969831102066,0.07021354373902441,HOLD,0.0026261545719962476,low,medium,low,medium,high,1
trend=low|volume=medium|volatility=low|recent_return=high|sec_ai=high|lots=1,0.062420125654866085,0.07511188243020063,0.07269592718509382,HOLD,0.0024159552451068073,low,medium,low,high,high,1
trend=low|volume=high|volatility=medium|recent_return=medium|sec_ai=medium|lots=3,0.08446459810114214,0.08541015776015198,0.08452422182390189,HOLD,0.0008859359362500957,low,high,medium,medium,medium,3
trend=low|volume=medium|volatility=medium|recent_return=medium|sec_ai=medium|lots=4,0.08138200350268873,0.05345348412216894,0.06309293321099602,SELL,0.018289070291692716,low,medium,medium,medium,medium,4
trend=low|volume=low|volatility=low|recent_return=medium|sec_ai=high|lots=0,0.059435419080779775,0.05941233993228447,0.059418398838945015,SELL,1.7020241834760086e-05,low,low,low,medium,high,0
trend=low|volume=high|volatility=medium|recent_return=medium|sec_ai=high|lots=0,0.062451941419101424,0.06301529483636249,0.06275779260804878,HOLD,0.00025750222831370795,low,high,medium,medium,high,0
trend=low|volume=high|volatility=medium|recent_return=low|sec_ai=low|lots=1,0.06837205643736192,0.08199166894480182,0.07556275559150813,HOLD,0.006428913353293694,low,high,medium,low,low,1
trend=low|volume=low|volatility=medium|recent_return=low|sec_ai=medium|lots=2,0.07653131135971533,0.07589316021407073,0.07615397593498423,SELL,0.00037733542473110393,low,low,medium,low,medium,2
trend=low|volume=low|volatility=low|recent_return=high|sec_ai=high|lots=0,0.05991563505162297,0.05999873786216982,0.059938826882112294,HOLD,5.991098005752454e-05,low,low,low,high,high,0
trend=low|volume=high|volatility=high|recent_return=high|sec_ai=low|lots=1,0.06496594716038583,0.07349648487524413,0.06514817173728829,HOLD,0.008348313137955837,low,high,high,high,low,1
trend=low|volume=medium|volatility=medium|recent_return=high|sec_ai=medium|lots=2,0.07588033649645111,0.07434240596129318,0.07897068028889175,BUY,0.0030903437924406363,low,medium,medium,high,medium,2
trend=low|volume=low|volatility=medium|recent_return=medium|sec_ai=medium|lots=1,0.06975938695432522,0.07886721793645027,0.08299599852755814,BUY,0.0041287805911078695,low,low,medium,medium,medium,1
trend=low|volume=medium|volatility=medium|recent_return=low|sec_ai=medium|lots=2,0.0778283621466265,0.07634918463270877,0.07369875782077813,SELL,0.001479177513917726,low,medium,medium,low,medium,2
trend=low|volume=medium|volatility=medium|recent_return=low|sec_ai=low|lots=0,0.06740600645747272,0.06645668043347057,0.06612282119050737,SELL,0.0009493260240021478,low,medium,medium,low,low,0
trend=low|volume=high|volatility=high|recent_return=low|sec_ai=high|lots=1,0.0719487332937969,0.06986283676572314,0.06966696462131595,SELL,0.002085896528073769,low,high,high,low,high,1
trend=low|volume=medium|volatility=medium|recent_return=low|sec_ai=medium|lots=3,0.07562830343659008,0.07439529180515324,0.0774651252095402,BUY,0.001836821772950123,low,medium,medium,low,medium,3
trend=low|volume=high|volatility=medium|recent_return=low|sec_ai=medium|lots=2,0.07907505120347628,0.0788959089774393,0.08100537158356504,BUY,0.0019303203800887514,low,high,medium,low,medium,2
trend=low|volume=high|volatility=medium|recent_return=low|sec_ai=high|lots=1,0.06444211956669822,0.07331274352522765,0.07542246745833235,BUY,0.0021097239331046985,low,high,medium,low,high,1
trend=low|volume=high|volatility=high|recent_return=low|sec_ai=low|lots=1,0.07443677310531657,0.0801877189234648,0.07192320042797105,HOLD,0.005750945818148223,low,high,high,low,low,1
trend=low|volume=medium|volatility=high|recent_return=medium|sec_ai=low|lots=1,0.07851839857325775,0.07603258696511696,0.07985545543555714,BUY,0.0013370568622993878,low,medium,high,medium,low,1
trend=low|volume=high|volatility=high|recent_return=high|sec_ai=high|lots=1,0.07015485703592883,0.06867067763613975,0.06909930138284814,SELL,0.0010555556530806864,low,high,high,high,high,1
trend=low|volume=high|volatility=high|recent_return=low|sec_ai=medium|lots=2,0.08382758382506375,0.07987646539649636,0.07767113801771845,SELL,0.003951118428567393,low,high,high,low,medium,2
trend=low|volume=high|volatility=high|recent_return=low|sec_ai=low|lots=0,0.06647386509303152,0.06651923971261993,0.0669563909762355,BUY,0.00043715126361557055,low,high,high,low,low,0
trend=low|volume=high|volatility=high|recent_return=medium|sec_ai=low|lots=1,0.07472421069398039,0.07517673994294415,0.093787967601347,BUY,0.018611227658402854,low,high,high,medium,low,1
trend=low|volume=high|volatility=high|recent_return=medium|sec_ai=medium|lots=2,0.08271955049655186,0.08399498936756616,0.08220540602774368,HOLD,0.001275438871014306,low,high,high,medium,medium,2
trend=low|volume=high|volatility=medium|recent_return=high|sec_ai=high|lots=0,0.062489771431774144,0.06249336105880579,0.06253355391838616,BUY,4.019285958037355e-05,low,high,medium,high,high,0
trend=low|volume=high|volatility=high|recent_return=high|sec_ai=low|lots=0,0.06663171589645782,0.06502885628029306,0.06355832228255795,SELL,0.0016028596161647563,low,high,high,high,low,0
trend=low|volume=high|volatility=high|recent_return=high|sec_ai=high|lots=2,0.07183376449352344,0.06987634898479472,0.06872102728634338,SELL,0.001957415508728716,low,high,high,high,high,2
trend=low|volume=high|volatility=high|recent_return=high|sec_ai=low|lots=2,0.07440654285217181,0.07365564747170698,0.0768509568550167,BUY,0.002444414002844883,low,high,high,high,low,2
trend=low|volume=high|volatility=medium|recent_return=high|sec_ai=medium|lots=2,0.07674341747841609,0.07690848744810913,0.08150424603560143,BUY,0.004595758587492296,low,high,medium,high,medium,2
trend=low|volume=high|volatility=high|recent_return=low|sec_ai=low|lots=2,0.07406744220304737,0.07427017331395967,0.07916226000508793,BUY,0.004892086691128256,low,high,high,low,low,2
trend=low|volume=medium|volatility=high|recent_return=low|sec_ai=high|lots=3,0.07576272239798025,0.0720360349097931,0.07960039193823278,BUY,0.003837669540252525,low,medium,high,low,high,3
trend=low|volume=medium|volatility=medium|recent_return=high|sec_ai=medium|lots=1,0.06907488923730308,0.07200126277824546,0.07463843936998654,BUY,0.0026371765917410778,low,medium,medium,high,medium,1
trend=low|volume=high|volatility=high|recent_return=high|sec_ai=high|lots=0,0.07038904927692119,0.06837286654739211,0.06750420839094397,SELL,0.0020161827295290813,low,high,high,high,high,0
trend=low|volume=medium|volatility=high|recent_return=high|sec_ai=low|lots=0,0.06577659856410778,0.06582254838060729,0.06536046682073816,HOLD,4.5949816499510354e-05,low,medium,high,high,low,0
trend=low|volume=medium|volatility=high|recent_return=high|sec_ai=high|lots=3,0.07589075011031582,0.07148469810700826,0.0712984540529708,SELL,0.004406052003307556,low,medium,high,high,high,3
trend=low|volume=medium|volatility=high|recent_return=low|sec_ai=low|lots=1,0.07228539096749392,0.07952579833605122,0.07396477482226839,HOLD,0.005561023513782834,low,medium,high,low,low,1
trend=low|volume=high|volatility=high|recent_return=low|sec_ai=high|lots=0,0.0692764296159702,0.06929629348751098,0.07340407211882018,BUY,0.004107778631309192,low,high,high,low,high,0
trend=low|volume=medium|volatility=high|recent_return=low|sec_ai=low|lots=0,0.06570965118152805,0.0656902480461033,0.06533616300596592,SELL,1.9403135424755913e-05,low,medium,high,low,low,0
trend=low|volume=low|volatility=high|recent_return=low|sec_ai=high|lots=3,0.07433846792342873,0.07955084206263094,0.07474112567928005,HOLD,0.004809716383350884,low,low,high,low,high,3
trend=low|volume=medium|volatility=medium|recent_return=low|sec_ai=medium|lots=1,0.06887146730603307,0.07436979753308694,0.07609089270921704,BUY,0.0017210951761301024,low,medium,medium,low,medium,1
trend=low|volume=high|volatility=high|recent_return=low|sec_ai=medium|lots=1,0.07427084770558531,0.08045654690591103,0.07992248967497462,HOLD,0.0005340572309364133,low,high,high,low,medium,1
trend=low|volume=medium|volatility=high|recent_return=low|sec_ai=high|lots=2,0.07550944572471226,0.07021094945368761,0.06968798125292736,SELL,0.005298496271024647,low,medium,high,low,high,2
trend=low|volume=high|volatility=high|recent_return=high|sec_ai=medium|lots=0,0.06771030371365803,0.06737398174555316,0.06696542118170871,SELL,0.0003363219681048746,low,high,high,high,medium,0
trend=low|volume=low|volatility=high|recent_return=high|sec_ai=low|lots=2,0.07603931672758171,0.07865437230324193,0.08025278980333804,BUY,0.0015984175000961082,low,low,high,high,low,2
trend=low|volume=medium|volatility=high|recent_return=low|sec_ai=medium|lots=0,0.06714400520951189,0.06729883539287473,0.06634377032636264,HOLD,0.00015483018336284737,low,medium,high,low,medium,0
trend=low|volume=low|volatility=high|recent_return=low|sec_ai=low|lots=1,0.07397730565228229,0.07555326538190257,0.0738647130761498,HOLD,0.0015759597296202826,low,low,high,low,low,1
trend=low|volume=high|volatility=high|recent_return=low|sec_ai=medium|lots=0,0.06676164689996189,0.06689126246222253,0.06549941446848076,HOLD,0.00012961556226064042,low,high,high,low,medium,0
trend=low|volume=low|volatility=high|recent_return=high|sec_ai=low|lots=0,0.06555848353191913,0.0652085185746078,0.06427649071606979,SELL,0.0003499649573113356,low,low,high,high,low,0
trend=low|volume=high|volatility=high|recent_return=high|sec_ai=medium|lots=1,0.0823083023363714,0.0851824331430849,0.09074871906872102,BUY,0.005566285925636114,low,high,high,high,medium,1
trend=low|volume=medium|volatility=high|recent_return=high|sec_ai=medium|lots=0,0.06734480707448541,0.06598488670694946,0.06679781362536039,SELL,0.0005469934491250245,low,medium,high,high,medium,0
trend=low|volume=medium|volatility=high|recent_return=high|sec_ai=high|lots=0,0.06933073158564722,0.06635159689467796,0.06577625061107145,SELL,0.0029791346909692623,low,medium,high,high,high,0
trend=low|volume=medium|volatility=high|recent_return=medium|sec_ai=low|lots=0,0.06613904092668636,0.0661224890600336,0.06634936725162319,BUY,0.00021032632493682424,low,medium,high,medium,low,0
trend=low|volume=low|volatility=high|recent_return=low|sec_ai=medium|lots=0,0.06747920396402697,0.06760425721849478,0.06945100135524078,BUY,0.0018467441367460008,low,low,high,low,medium,0
trend=low|volume=medium|volatility=high|recent_return=low|sec_ai=low|lots=2,0.07685501363889516,0.07976614638619392,0.07703300307386472,HOLD,0.0027331433123291976,low,medium,high,low,low,2
trend=low|volume=low|volatility=high|recent_return=high|sec_ai=low|lots=1,0.07254540718985437,0.0790292893105727,0.07474283420034594,HOLD,0.004286455110226753,low,low,high,high,low,1
trend=low|volume=low|volatility=high|recent_return=high|sec_ai=medium|lots=0,0.06790507108775111,0.06698977971028669,0.06707248133252912,SELL,0.0008325897552219907,low,low,high,high,medium,0
trend=low|volume=medium|volatility=high|recent_return=high|sec_ai=low|lots=1,0.07319543519079144,0.07400433331043256,0.07831670195490667,BUY,0.00431236864447411,low,medium,high,high,low,1
trend=low|volume=low|volatility=high|recent_return=low|sec_ai=low|lots=0,0.06562893111963206,0.06585780766513998,0.06476307991495579,HOLD,0.00022887654550791947,low,low,high,low,low,0
trend=low|volume=low|volatility=high|recent_return=low|sec_ai=high|lots=0,0.06805019240398566,0.06869916931084713,0.0714129575548633,BUY,0.002713788244016163,low,low,high,low,high,0
trend=low|volume=low|volatility=high|recent_return=high|sec_ai=high|lots=1,0.07328973482626522,0.07820200911631328,0.07352829708742399,HOLD,0.00467371202888929,low,low,high,high,high,1
trend=low|volume=low|volatility=high|recent_return=medium|sec_ai=low|lots=0,0.06534351858986052,0.06452233060570334,0.06439396758818298,SELL,0.0008211879841571873,low,low,high,medium,low,0
trend=low|volume=medium|volatility=high|recent_return=high|sec_ai=high|lots=1,0.06960987907946993,0.07148734674136611,0.06863491134469901,HOLD,0.0018774676618961844,low,medium,high,high,high,1
trend=low|volume=low|volatility=high|recent_return=low|sec_ai=high|lots=2,0.07586536543944537,0.07510213119325815,0.07441822902881505,SELL,0.0007632342461872249,low,low,high,low,high,2
trend=low|volume=low|volatility=high|recent_return=medium|sec_ai=medium|lots=0,0.06699409630948402,0.06703526590871214,0.06747354861405172,BUY,0.0004382827053395766,low,low,high,medium,medium,0
trend=low|volume=low|volatility=high|recent_return=high|sec_ai=high|lots=2,0.07652038684837582,0.07612464836562277,0.07749631076386862,BUY,0.0009759239154927962,low,low,high,high,high,2
trend=low|volume=low|volatility=high|recent_return=high|sec_ai=high|lots=3,0.07705976139847744,0.07713721374815029,0.07870563307486138,BUY,0.0015684193267110902,low,low,high,high,high,3
trend=low|volume=low|volatility=high|recent_return=medium|sec_ai=high|lots=3,0.07747459445846028,0.0779341108579374,0.07765481244026831,HOLD,0.000279298417669091,low,low,high,medium,high,3
trend=low|volume=low|volatility=high|recent_return=medium|sec_ai=high|lots=2,0.07683299622375443,0.07615224293447201,0.07789486238509158,BUY,0.0010618661613371466,low,low,high,medium,high,2
trend=low|volume=low|volatility=high|recent_return=medium|sec_ai=low|lots=1,0.07310107893159162,0.0772777037168838,0.07896265192223528,BUY,0.0016849482053514775,low,low,high,medium,low,1
trend=low|volume=low|volatility=high|recent_return=medium|sec_ai=low|lots=2,0.07609839991040197,0.07503658248358971,0.07527373854595708,SELL,0.0008246613644448952,low,low,high,medium,low,2
trend=low|volume=medium|volatility=high|recent_return=high|sec_ai=high|lots=2,0.073023895233752,0.07158118737361768,0.07264495571890689,SELL,0.0003789395148451058,low,medium,high,high,high,2
trend=low|volume=low|volatility=high|recent_return=low|sec_ai=low|lots=2,0.07599843320903862,0.07557074558890278,0.077498804974087,BUY,0.0015003717650483722,low,low,high,low,low,2
trend=low|volume=medium|volatility=high|recent_return=medium|sec_ai=high|lots=2,0.07454462783789796,0.07457510164204598,0.07520584873364451,BUY,0.0006307470915985353,low,medium,high,medium,high,2
trend=low|volume=medium|volatility=high|recent_return=low|sec_ai=high|lots=1,0.07091288651333406,0.07219887324925095,0.07394987951367882,BUY,0.0017510062644278679,low,medium,high,low,high,1
trend=low|volume=low|volatility=high|recent_return=medium|sec_ai=high|lots=1,0.07205854882960513,0.07455565060116313,0.08059608128402579,BUY,0.006040430682862655,low,low,high,medium,high,1
trend=low|volume=high|volatility=high|recent_return=high|sec_ai=medium|lots=2,0.08805176386801598,0.08509436309483435,0.08429233134644382,SELL,0.0029574007731816288,low,high,high,high,medium,2
trend=low|volume=medium|volatility=high|recent_return=medium|sec_ai=medium|lots=2,0.08609253178285461,0.08488527170174162,0.08394691094229377,SELL,0.001207260081112993,low,medium,high,medium,medium,2
trend=low|volume=medium|volatility=high|recent_return=low|sec_ai=medium|lots=2,0.0853513292503938,0.08365625203222181,0.08279654131565903,SELL,0.0016950772181719975,low,medium,high,low,medium,2
trend=low|volume=low|volatility=high|recent_return=medium|sec_ai=medium|lots=2,0.0864300658194918,0.08468412844671773,0.08398791667766253,SELL,0.0017459373727740646,low,low,high,medium,medium,2
trend=low|volume=low|volatility=high|recent_return=high|sec_ai=medium|lots=2,0.08501883107169168,0.08572281589917004,0.08343997420145625,HOLD,0.0007039848274783544,low,low,high,high,medium,2
trend=low|volume=medium|volatility=high|recent_return=medium|sec_ai=medium|lots=0,0.06728374632112838,0.06720687161265038,0.06731936856076799,BUY,3.562223963961275e-05,low,medium,high,medium,medium,0
trend=low|volume=low|volatility=high|recent_return=low|sec_ai=medium|lots=2,0.08996264904995901,0.0856846760002061,0.08463022238675992,SELL,0.0042779730497529145,low,low,high,low,medium,2
trend=low|volume=high|volatility=high|recent_return=medium|sec_ai=low|lots=2,0.07925850389034003,0.08029781297721109,0.07477243793521451,HOLD,0.0010393090868710542,low,high,high,medium,low,2
trend=low|volume=high|volatility=medium|recent_return=medium|sec_ai=low|lots=1,0.06948236939853954,0.08370818962582247,0.0828390878157623,HOLD,0.0008691018100601688,low,high,medium,medium,low,1
